SriLanka_creole,phonetic_transcription,phono_TRSVD,phono_CV
Abaço,abaso,V.TV.SV,V.CV.CV
Aberçà,abeɾsaː,V.TVR.SV,V.CVC.CV
abersà,abeɾsaː,V.TVR.SV,V.CVC.CV
aburçá,abuɾsaː,V.TVR.SV,V.CVC.CV
Aburcé,abuɾseː,V.TVR.SV,V.CVC.CV
Aborcido,aboɾsido,V.TVR.SV.TV,V.CVC.CV.CV
Absença,absensa,V.T.SVR.SV,V.C.CVC.CV
Acá,akaː,V.TV,V.CV
Açorague,asoɾage,V.SV.RV.TV,V.CV.CV.CV
Adéo,adeːo,V.TV.V,V.CV.V
Adiôto,adioːto,V.TV.V.TV,V.CV.V.CV
Adultéria,adulteːɾia,V.TVR.TV.RV.V,V.CVC.CV.CV.V
adulteração,adulteɾasaːo,V.TVR.TV.RV.SV.V,V.CVC.CV.CV.CV.V
Affeçan,afesan,V.TV.SVR,V.CV.CVC
Ágô,aːgoː,V.TV,V.CV
Agradado,agɾadado,V.TRV.TV.TV,V.CCV.CV.CV
Aguá,aguaː,V.TV.V,V.CV.V
aguvá,aguʋaː,V.TV.TV,V.CV.CV
Aindè,aindeː,V.VR.TV,V.VC.CV
Albre,albɾe,VR.TRV,VC.CCV
àlbri,aːlbɾi,VR.TRV,VC.CCV
àlbir,aːlbiɾ,VR.TVR,VC.CVC
Aldia,aldia,VR.TV.V,VC.CV.V
Alegrado,alegɾado,V.RV.TRV.TV,V.CV.CCV.CV
Alegroso,alegɾozo,V.RV.TRV.SV,V.CV.CCV.CV
Alfada,alfada,VR.TV.TV,VC.CV.CV
Alfàndago,alfaːndago,VR.TVR.TV.TV,VC.CVC.CV.CV
Alfiato,alfiato,VR.TV.V.TV,VC.CV.V.CV
Alhuma,aʎuma,V.RVRV,V.CVCV
Allagre,alagɾe,V.RV.TRV,V.CV.CCV
allagroso,alagɾozo,V.RV.TRV.SV,V.CV.CCV.CV
allegrioso,alegɾiozo,V.RV.TRV.V.SV,V.CV.CCV.V.CV
Allagria,alagɾia,V.RV.TRV.V,V.CV.CCV.V
allegri,alegɾi,V.RV.TRV,V.CV.CCV
Almári,almaːɾi,VR.RV.RV,VC.CV.CV
Almazem,almazem,VR.RV.SVR,VC.CV.CVC
Almóça,almoːsa,VR.RV.SV,VC.CV.CV
Alumado,alumado,V.RVRV.TV,V.CVCV.CV
Aluminá,aluminaː,V.RVRV.RV,V.CVCV.CV
Alverção,alʋeɾsaːo,VR.TVR.SV.V,VC.CVC.CV.V
Alvorsà,alʋoɾsaː,VR.TVR.SV,VC.CVC.CV
alversá,alʋeɾsaː,VR.TVR.SV,VC.CVC.CV
Alvoroção,alʋoɾosaːo,VR.TV.RV.SV.V,VC.CV.CV.CV.V
alvroço,alʋɾoso,VR.TRV.SV,VC.CCV.CV
Amanhão,amaɲaːo,V.RVRV.V,V.CVCV.V
aminhão,amiɲaːo,V.RVRV.V,V.CVCV.V
amião,amiaːo,V.RV.VV,V.CV.VV
amiam,amiam,V.RV.VR,V.CV.VC
Amaroso,amaɾozo,V.RVRV.SV,V.CVCV.CV
ameroso,ameɾozo,V.RVRV.SV,V.CVCV.CV
amoro,amoɾo,V.RVRV,V.CVCV
Amiçan,amisan,V.RV.SVR,V.CV.CVC
Ampér,ampeːɾ,VR.TVR,VC.CVC
Anela,anela,V.RVRV,V.CVCV
Anima,anima,V.RVRV,V.CVCV
Ankerà,ankeɾaː,VR.TV.RV,VC.CV.CV
ancrà,ankɾaː,VR.TRV,VC.CCV
Apinhá,apiɲaː,V.TV.RV,V.CV.CV
Aquél,akeːl,V.TVR,V.CVC
aquelle,akele,V.TV.RV,V.CV.CV
Ária,aːɾia,V.RV.V,V.CV.V
Arià,aɾiaː,V.RV.V,V.CV.V
Aros,aɾos,V.RVS,V.CVC
Artifiço,aɾtifiso,VR.TV.TV.SV,VC.CV.CV.CV
Ásper,aːspeɾ,VS.TVR,VC.CVC
Asperdade,aspeɾdade,VS.TVR.TV.TV,VC.CVC.CV.CV
Assitanto,asitanto,V.SV.TVR.TV,V.CV.CVC.CV
astanto,astanto,VS.TVR.TV,VC.CVC.CV
Assino,asino,V.SV.RV,V.CV.CV
Assofran,asofɾan,V.SV.TRVR,V.CV.CCVC
Atà,ataː,V.TV,V.CV
Atarde,ataɾde,V.TVR.TV,V.CVC.CV
Atchà,at̠ʃaː,V.TV,V.CV
Atramento,atɾamento,V.TRV.RVR.TV,V.CCV.CVC.CV
Attermesan,atːeɾmezan,V.TVR.RV.SVR,V.CVC.CV.CVC
Audénci,audeːnsi,VG.TVR.SV,VG.CVC.CV
Audia,audia,VG.TV.V,VG.CV.V
Avantagem,aʋantad̠ʒem,V.TVR.TV.TVR,V.CVC.CV.CVC
Avelho,aʋeʎo,V.TV.RV,V.CV.CV
Avená,aʋenaː,V.TV.RV,V.CV.CV
Avoà,aʋoaː,V.TV.V,V.CV.V
Azéte,azeːte,V.SV.TV,V.CV.CV
aziete,aziete,V.SV.V.TV,V.CV.V.CV
Baclà,baklaː,TV.TRV,CV.CCV
Bailo,bailo,TV.V.RV,CV.V.CV
Basséza,baseːza,TV.SV.SV,CV.CV.CV
Bandeya,bandeja,TVR.TV.RV,CVC.CV.CV
Barrato,barato,TV.RV.TV,CV.CV.CV
Barrê,bareː,TV.RV,CV.CV
Batrai,batɾai,TV.TRV.V,CV.CCV.V
Battà,batːaː,TV.TV,CV.CV
Battalho,batːaʎo,TV.TV.RV,CV.CV.CV
Bautizá,bautizaː,TVG.TV.SV,CVG.CV.CV
Beberão,bebeɾaːo,TV.TV.RV.V,CV.CV.CV.V
babarão,babaɾaːo,TV.TV.RV.V,CV.CV.CV.V
bebrão,bebɾaːo,TV.TRV.V,CV.CCV.V
Béço,beːso,TV.SV,CV.CV
Bença,bensa,TVR.SV,CVC.CV
bencè,benseː,TVR.SV,CVC.CV
Bendição,bendisaːo,TVR.TV.SV.V,CVC.CV.CV.V
Beneficaçan,benefikasan,TV.RV.TV.TV.SVR,CV.CV.CV.CV.CVC
Bénza,beːnza,TVR.SV,CVC.CV
bénzè,beːnzeː,TVR.SV,CVC.CV
Bijá,bid̠ʒaː,TV.TV,CV.CV
Bisiga,biziga,TV.SV.TV,CV.CV.CV
Blasphemoso,blasfemozo,TRVS.TV.RV.SV,CCVC.CV.CV.CV
Bõa,boːa,TV.V,CV.V
Bocadè,bokadeː,TV.TV.TV,CV.CV.CV
Bom,bom,TVR,CVC
Bordè,boɾdeː,TVR.TV,CVC.CV
Bordiá,boɾdiaː,TVR.TV.V,CVC.CV.V
Borrecido,boresido,TV.RV.SV.TV,CV.CV.CV.CV
Boutic,boutik,TVG.TV.T,CVG.CV.C
Branca,bɾanka,TRVR.TV,CCVC.CV
Branda,bɾanda,TRVR.TV,CCVC.CV
Branquéza,bɾankeːza,TRVR.TV.SV,CCVC.CV.CV
Brazá,bɾazaː,TRV.SV,CCV.CV
Bremellio,bɾemelio,TRV.RVRV.V,CCV.CVCV.V
brimellio,bɾimelio,TRV.RVRV.V,CCV.CVCV.V
brimalho,bɾimaʎo,TRV.RVRV,CCV.CVCV
brimejo,bɾimed̠ʒo,TRV.RV.TV,CCV.CV.CV
Bruffador,bɾufadoɾ,TRV.TV.TVR,CCV.CV.CVC
Bunaca,bunaka,TV.RV.TV,CV.CV.CV
Bunito,bunito,TV.RV.TV,CV.CV.CV
Burcê,buɾseː,TVR.SV,CVC.CV
burçá,buɾsaː,TVR.SV,CVC.CV
Cabeça,kabesa,TV.TV.SV,CV.CV.CV
cabeçé,kabeseː,TV.TV.SV,CV.CV.CV
Cabelho,kabeʎo,TV.TV.RV,CV.CV.CV
Cachorinho,kat̠ʃoɾiɲo,TV.TV.RVRV,CV.CV.CVCV
Cadè,kadeː,TV.TV,CV.CV
Cadéra,kadeːɾa,TV.TV.RV,CV.CV.CV
Cadia,kadia,TV.TV.V,CV.CV.V
Caix,kaiʃ,TV.V.T,CV.V.C
Càlis,kaːlis,TV.RVS,CV.CVC
Calmo,kalmo,TVR.RV,CVC.CV
Cambiador,kambiadoɾ,TVR.TV.V.TVR,CVC.CV.V.CVC
Canàlhi,kanaːʎi,TV.RVRV,CV.CVCV
Candecera,kandeseɾa,TVR.TV.SV.RV,CVC.CV.CV.CV
can'cera,kanəseɾa,TV.RV.SV.RV,CV.CV.CV.CV
Cândia,kaːndia,TVR.TV.V,CVC.CV.V
Canto,kanto,TVR.TV,CVC.CV
Capas,kapas,TV.TVS,CV.CVC
Captão,kaptaːo,TV.T.TV.V,CV.C.CV.V
capitano,kapitano,TV.TV.TV.RV,CV.CV.CV.CV
Caravão,kaɾaʋaːo,TV.RV.TV.V,CV.CV.CV.V
Cargá,kaɾgaː,TVR.TV,CVC.CV
Cargação,kaɾgasaːo,TVR.TV.SV.V,CVC.CV.CV.V
Caridavel,kaɾidaʋel,TV.RV.TV.TVR,CV.CV.CV.CVC
Caringuejo,kaɾinged̠ʒo,TV.RVR.TV.TV,CV.CVC.CV.CV
Caristia,kaɾistia,TV.RVS.TV.V,CV.CVC.CV.V
caristi,kaɾisti,TV.RVS.TV,CV.CVC.CV
carrestia,karestia,TV.RVS.TV.V,CV.CVC.CV.V
Cartè,kaɾteː,TVR.TV,CVC.CV
Casião,kaziaːo,TV.SV.VV,CV.CV.VV
Cassa,kasa,TV.SV,CV.CV
Castella,kastela,TVS.TV.RV,CVC.CV.CV
castellé,kasteleː,TVS.TV.RV,CVC.CV.CV
Castigação,kastigasaːo,TVS.TV.TV.SV.V,CVC.CV.CV.CV.V
Catividade,katiʋidade,TV.TV.TV.TV.TV,CV.CV.CV.CV.CV
Catàrr,kataːr,TV.TVR,CV.CVC
Causo,kauzo,TVG.SV,CVG.CV
Cavalheria,kaʋaʎeɾia,TV.TV.RVRV.V,CV.CV.CVCV.V
Cavelyéro,kaʋelʲeːɾo,TV.TV.RVRV,CV.CV.CVCV
Cavelo,kaʋelo,TV.TV.RV,CV.CV.CV
Caverno,kaʋeɾno,TV.TVR.RV,CV.CVC.CV
Caxa,kaʃa,TV.TV,CV.CV
Cendê,sendeː,SVR.TV,CVC.CV
Ceremonio,seɾemonio,SV.RVRV.RV.V,CV.CVCV.CV.V
Chalo,t̠ʃalo,TV.RV,CV.CV
Chápè,t̠ʃaːpeː,TV.TV,CV.CV
Chape,t̠ʃape,TV.TV,CV.CV
Chéo,t̠ʃeːo,TV.V,CV.V
Chéro,t̠ʃeːɾo,TV.RV,CV.CV
chiero,t̠ʃieɾo,TV.V.RV,CV.V.CV
chiesto,t̠ʃiesto,TV.VS.TV,CV.VC.CV
chisto,t̠ʃisto,TVS.TV,CVC.CV
Chocarréa,t̠ʃokareːa,TV.TV.RV.V,CV.CV.CV.V
choqueria,t̠ʃokeɾia,TV.TV.RV.V,CV.CV.CV.V
Chomà,t̠ʃomaː,TV.RV,CV.CV
Chóma,t̠ʃoːma,TV.RV,CV.CV
Cinquo,sinkuo,SVR.TV.V,CVC.CV.V
cinquè,sinkeː,SVR.TV,CVC.CV
Clar,klaɾ,TRVR,CCVC
Clarmente,klaɾmente,TRVR.RVR.TV,CCVC.CVC.CV
Coidá,kojdaː,TVR.TV,CVC.CV
Coidado,kojdado,TVR.TV.TV,CVC.CV.CV
Çoità,sojtaː,SVR.TV,CVC.CV
Colleição,koleisaːo,TV.RVG.SV.V,CV.CVG.CV.V
Columno,kolumno,TV.RVR.RV,CV.CVC.CV
Cóma,koːma,TV.RV,CV.CV
comè,komeː,TV.RV,CV.CV
Combersan,kombeɾsan,TVR.TVR.SVR,CVC.CVC.CVC
Comedi,komedi,TV.RV.TV,CV.CV.CV
comédè,komeːdeː,TV.RV.TV,CV.CV.CV
Comera,komeɾa,TV.RVRV,CV.CVCV
comêrè,komeːɾeː,TV.RVRV,CV.CVCV
