Unnamed: 0,SriLanka_creole,phonetic_transcription,Portuguese_definition,Portuguese_IPA,English_definition,pos,Related_languages,pt_related annotations,sources,original_full_entry,original_Portuguese_definition,original_linguistic_notes,page
0,Abaço,abaso,abaixo,ɐ.ˈbaj.ʃu,below,adverb,,,,"Abaço, abaixo. P. us. V.",abaixo,pouco usado,135.0
1,Aberçà,abeɾsaː,abraçar,ɐ.bɾɐ.ˈsaɾ,hug,verb,,,"O Bruffador, ii periódico","Aberçà, abersà, aburçá {Br. 2), abraçar.",abraçar,,135.0
2,abersà,abeɾsaː,abraçar,ɐ.bɾɐ.ˈsaɾ,hug,verb,,,"O Bruffador, ii periódico","Aberçà, abersà, aburçá {Br. 2), abraçar.",abraçar,,135.0
3,aburçá,abuɾsaː,abraçar,ɐ.bɾɐ.ˈsaɾ,hug,verb,,,"O Bruffador, ii periódico","Aberçà, abersà, aburçá {Br. 2), abraçar.",abraçar,,135.0
4,Aburcé,abuɾseː,aborrecer,ɐ.bu.Rɨ.ˈseɾ,annoy,verb,,,,Aburcé. Mais us. burcé.,Mesmo que burcé,,135.0
6,Aborcido,aboɾsido,aborrecido,ɐ.bu.Rɨ.ˈsi.du,bored,adjective,,,,Aborcido. P. us. V. borcido.,borcido,pouco usado,135.0
7,Absença,absensa,ausência,aw.ˈzẽ.sjɐ,absence,noun,,,,"Absença {b pron.), ausência.— íngl. absence.",ausência,,135.0
11,Acá,akaː,cá,ˈka,here,adverb,,Old Portuguese,,"Acá, cá. — Port. arch. Elii-cid.: acó e aqó. Cfr. alá.",cá,,135.0
22,Açorague,asoɾage,açougue,ɐ.ˈsow.ɡɨ,butchery,noun,,,,"Açorague, açougue. — Por equivocação com a^orrague (desus.)?",açougue,,135.0
26,Adéo,adeːo,adeus,ɐ.ˈdewʃ,goodbye,noun,,,,"Adéo, adeus. 5 apocopado, por se considerar a locução simples e singular. Cfr. simple.",adeus,,135.0
27,Adiôto,adioːto,douto,ˈdow.tu,learned,noun,,,Istori de San Clear,"Adiôto (S. C), douto.",douto,,135.0
34,Adultéria,adulteːɾia,adultério,ɐ.duɫ.tˈɛ.ɾi.u,adultery,noun,,,,"Adultéria, adulteração, adultério. Cfr. mystéria; cui-dação.",adultério,,136.0
35,adulteração,adulteɾasaːo,adultério,ɐ.duɫ.tˈɛ.ɾi.u,adultery,noun,,,,"Adultéria, adulteração, adultério. Cfr. mystéria; cui-dação.",adultério,,136.0
41,Affeçan,afesan,afeição,ɐ.fɐj.ˈsɐ̃w̃,affection,noun,,,,"Affeçan, aífeição.",aífeição,,136.0
43,Ágô,aːgoː,água,a.gwɐ,water,noun,"Capeverdean creole, Cochin creole, Macao creole",,,"Ágo (fórm. mod.), agoe, (p. uspron. ágô)^ agua (t. us.). Ago: dial. cochmac, cab. Cfr. lingo, lego.",água,pouco usado,136.0
47,Agradado,agɾadado,agradável,ɐ.ɡɾɐ.ˈda.vɛɫ,pleasant,adjective,,,,"Agradado, agradável. Cfr. desobedecido, perfeitado.",agradável,,136.0
48,Aguá,aguaː,voar,ˈvwaɾ,fly,verb,Macao creole,,,"Agua, aguvá, voar. Agua: dial. mac.—Por avoá, q. v. Cfr. nôgo, ôgo.",voar,,136.0
49,aguvá,aguʋaː,voar,ˈvwaɾ,fly,verb,Macao creole,,,"Agua, aguvá, voar. Agua: dial. mac.—Por avoá, q. v. Cfr. nôgo, ôgo.",voar,,136.0
50,Aindè,aindeː,ainda,ɐ.ˈĩ.dɐ,still,adverb,,,,"Aindè, ainda. Mais us. indè.",ainda,,136.0
55,Albre,albɾe,árvore,ˈaɾ.vu.ɾɨ,tree,noun,"Capeverdean creole, Macao creole",Old Portuguese,,"Albre, àlbri, àlbir (fórm. mod.), arvore. Albre: dial. cab. Dial. mac. árvi. Arbre, arbe e arve (e alvoredo): dia-lectaes no Portuguese-based creoles of Indian mainland. — Albo-re: port. arch.",árvore,,136.0
56,àlbri,aːlbɾi,árvore,ˈaɾ.vu.ɾɨ,tree,noun,"Capeverdean creole, Macao creole",Old Portuguese,,"Albre, àlbri, àlbir (fórm. mod.), arvore. Albre: dial. cab. Dial. mac. árvi. Arbre, arbe e arve (e alvoredo): dia-lectaes no Portuguese-based creoles of Indian mainland. — Albo-re: port. arch.",árvore,,136.0
57,àlbir,aːlbiɾ,árvore,ˈaɾ.vu.ɾɨ,tree,noun,"Capeverdean creole, Macao creole",Old Portuguese,,"Albre, àlbri, àlbir (fórm. mod.), arvore. Albre: dial. cab. Dial. mac. árvi. Arbre, arbe e arve (e alvoredo): dia-lectaes no Portuguese-based creoles of Indian mainland. — Albo-re: port. arch.",árvore,,136.0
59,Aldia,aldia,aldeia,aɫ.ˈdɐj.ɐ,village,noun,,,,"Aldia, aldeia. Cfr. ária, cadia.",aldeia,,136.0
60,Alegrado,alegɾado,alegre,ɐ.ˈlɛ.ɡɾɨ,merry,adjective,,,,"Alegrado, alegre. Cfr. agradado.",alegre,,136.0
61,Alegroso,alegɾozo,alegre,ɐ.ˈlɛ.ɡɾɨ,merry,adjective,,,,"Alegroso, alegre. Cfr. se-rioso, varioso.",alegre,,136.0
64,Alfada,alfada,almofada,aɫ.mu.ˈfa.dɐ,cushion,noun,,,,"Alfada, almofada.— Por al-m'fada (assimil.).",almofada,,136.0
65,Alfàndago,alfaːndago,alfândega,aɫ.ˈfɐ̃.dɨ.ɡɐ,customs,noun,,,,"Alfàndago, alfandega.",alfandega,,136.0
66,Alfiato,alfiato,alfaiate,aɫ.fɐj.ˈa.tɨ,tailor,noun,,,,"Alfiato, alfaiate. Alfiate: dial. de Mahé.",alfaiate,,136.0
71,Alhuma,aʎuma,alguém,aɫ.ˈɡɐ̃j̃,someone,pronoun,,,,,alguém,,136.0
77,Allagre,alagɾe,alegre,ɐ.ˈlɛ.ɡɾɨ,merry,adjective,,,,,alegre,,136.0
78,allagroso,alagɾozo,alegre,ɐ.ˈlɛ.ɡɾɨ,merry,adjective,,,,,alegre,,136.0
79,allegrioso,alegɾiozo,alegre,ɐ.ˈlɛ.ɡɾɨ,merry,adjective,,,,,alegre,,136.0
80,Allagria,alagɾia,alegria,ɐ.lɨ.ˈɡɾi.ɐ,joy,noun,,,,"Allegri, alegria (t. us.). Cfr. caristi.",alegria,,136.0
81,allegri,alegɾi,alegria,ɐ.lɨ.ˈɡɾi.ɐ,joy,noun,,,,"Allegri, alegria (t. us.). Cfr. caristi.",alegria,,136.0
82,Almári,almaːɾi,armário,ɐɾ.ˈma.ɾju,cabinet,noun,,,,"Almári, almario, armário. Cfr. peditóri, remedi.",armário,,136.0
83,Almazem,almazem,armazém,ɐɾ.mɐ.ˈʒɐ̃j̃,warehouse,noun,,"Old Portuguese, Dialectal Portuguese",,"Almazem, armazém.—Port. arch. e Dialetal Portuguese. Mais us. gudão.",armazém,,136.0
84,Almóça,almoːsa,almoço,aɫ.ˈmo.su,lunch,noun,,,,"Almoça, almoço.",almoço,,136.0
87,Alumado,alumado,aluado,ɐ.ˈlwa.du,moonstruck,adjective,,,,"Alumado, aluado. Mais us. l untado.",aluado,,137.0
88,Aluminá,aluminaː,iluminar,i.lu.mi.ˈnaɾ,illuminate,verb,,,,"Aluminá, illuminar.",illuminar,,137.0
89,Alverção,alʋeɾsaːo,aversão,ɐ.vɨɾ.ˈsɐ̃w̃,aversion,noun,,,Cantigas,Alverção (Cant.)^ aversão.,aversão,,137.0
90,Alvorsà,alʋoɾsaː,alvoroçar,aɫ.vu.ɾu.ˈsaɾ,fuss,verb,,,,"Alvorsà, alversá, alvoroçar.",alvoroçar,,137.0
91,alversá,alʋeɾsaː,alvoroçar,aɫ.vu.ɾu.ˈsaɾ,fuss,verb,,,,"Alvorsà, alversá, alvoroçar.",alvoroçar,,137.0
92,Alvoroção,alʋoɾosaːo,alvoroço,aɫ.vu.ˈɾo.su,uproar,noun,,,"O Bruffador, i periódico","Alvoroção (deriv. norm.), alvroço {Br. i), alvoroço.",alvoroço,derivado,
93,alvroço,alʋɾoso,alvoroço,aɫ.vu.ˈɾo.su,uproar,noun,,,"O Bruffador, i periódico","Alvoroção (deriv. norm.), alvroço {Br. i), alvoroço.",alvoroço,derivado,
96,Amanhão,amaɲaːo,amanhã,a.mɐ.ˈɲɐ̃,tomorrow,adverb,Diu creole,"Dialectal Portuguese Minho, Porto",,"Amanhão, aminhão, amião, amiam (p. us.), amanhã. Dial. div. aminhâ. Ama-nhão, aminhão: Dialetal Portuguese. no Minho e no Porto. Cfr. palmião, Ião.",amanhã,,137.0
97,aminhão,amiɲaːo,amanhã,a.mɐ.ˈɲɐ̃,tomorrow,adverb,Diu creole,"Dialectal Portuguese Minho, Porto",,"Amanhão, aminhão, amião, amiam (p. us.), amanhã. Dial. div. aminhâ. Ama-nhão, aminhão: Dialetal Portuguese. no Minho e no Porto. Cfr. palmião, Ião.",amanhã,,137.0
98,amião,amiaːo,amanhã,a.mɐ.ˈɲɐ̃,tomorrow,adverb,Diu creole,"Dialectal Portuguese Minho, Porto",,"Amanhão, aminhão, amião, amiam (p. us.), amanhã. Dial. div. aminhâ. Ama-nhão, aminhão: Dialetal Portuguese. no Minho e no Porto. Cfr. palmião, Ião.",amanhã,,137.0
99,amiam,amiam,amanhã,a.mɐ.ˈɲɐ̃,tomorrow,adverb,Diu creole,"Dialectal Portuguese Minho, Porto",,"Amanhão, aminhão, amião, amiam (p. us.), amanhã. Dial. div. aminhâ. Ama-nhão, aminhão: Dialetal Portuguese. no Minho e no Porto. Cfr. palmião, Ião.",amanhã,,137.0
100,Amaroso,amaɾozo,amoroso,ɐ.mu.ˈɾo.zu,loving,adjective,,,"O Bruffador, ii periódico","Amaroso, ameroso (p. us.), amoro {Br. 2), amoroso.—Infl. de r. Cfr. sabaroso. Amaroso-mente, amorosamente.",amoroso,pouco usado,137.0
101,ameroso,ameɾozo,amoroso,ɐ.mu.ˈɾo.zu,loving,adjective,,,"O Bruffador, ii periódico","Amaroso, ameroso (p. us.), amoro {Br. 2), amoroso.—Infl. de r. Cfr. sabaroso. Amaroso-mente, amorosamente.",amoroso,pouco usado,137.0
102,amoro,amoɾo,amoroso,ɐ.mu.ˈɾo.zu,loving,adjective,,,"O Bruffador, ii periódico","Amaroso, ameroso (p. us.), amoro {Br. 2), amoroso.—Infl. de r. Cfr. sabaroso. Amaroso-mente, amorosamente.",amoroso,pouco usado,137.0
105,Amiçan,amisan,ambição,ɐ̃.bi.ˈsɐ̃w̃,ambition,noun,,,,"Amiçan, ambição. Ass. do b. á nasal precedente. Cfr. amos.",ambição,,137.0
110,Ampér,ampeːɾ,amparo,ɐ̃.ˈpa.ɾu,amparo,noun,,,Cantigas,Ampér {Cant.)^ amparo.,amparo,,137.0
114,Anela,anela,anel,ɐ.ˈnɛɫ,ring,noun,Macao creole,,,"Anela, anel. Dial. de Mahé, mac. Cfr. papeia.",anel,,137.0
115,Anima,anima,ânimo,ˈɐ.ni.mu,cheer,noun,,,,"Anima, animo. Cfr. almoça.",animo,,137.0
121,Ankerà,ankeɾaː,ancorar,ɐ̃.ku.ˈɾaɾ,anchor,verb,,,,"Ankerà, anchrà,, ancrà, an-chorar,",ancorar,,137.0
